"GROUP","TIME","HORIZONTAL","VERTICAL","CIRCLE","LEGATO","NOTE","SLUR UP","SLUR DOWN","BASS KEY","TREBLE KEY","SHARP","FLAT","MARCATO","NATURAL","DIMINUENDO","NUMBER ONE","NUMBER TWO","STACCATO","SULLARCO","UPPERMORDENT"
7,17,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0
7,18,0,0,0,0,0,0,4.2,0,0,0,0,6.1,0,0,0,0,0,0,0
7,19,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0
7,20,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0
7,21,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0
7,22,0,0,0,0,3.1,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,23,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,24,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,25,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,26,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,27,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,28,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,29,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,30,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,31,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,32,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,33,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,34,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,35,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,36,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,37,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,38,0,0,0,0,0,0,2.2,0,0,0,1.1,0,0,0,0,0,0,0,0
7,39,0,0,0,0,1.1,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,40,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,41,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,42,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,43,0,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,44,0,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,45,0,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,46,0,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,47,0,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,48,0,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
7,49,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,50,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,51,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,52,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,53,0,0,0,0,2.1,0,-2.2,0,0,0,2.1,0,0,0,0,0,0,0,0
7,54,0,0,0,0,0,1.1,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,55,0,0,0,0,-4.1,1.1,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,56,0,0,0,0,0,2.1,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,57,0,0,0,0,0,2.1,-2.2,0,-2.2,0,0,0,0,0,0,0,0,0,0
7,58,0,0,0,0,0,2.1,-2.2,0,-2.2,0,0,0,0,0,0,0,0,0,0
7,59,0,0,0,0,0,3.1,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
7,60,0,0,0,0,0,3.1,-3.2,0,0,0,0,8.1,0,0,0,0,0,0,0
7,61,0,0,0,0,0,4.1,-3.2,0,0,0,0,8.1,0,0,0,0,0,0,0
7,62,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,63,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,64,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,0,0,0,0,0,0
7,65,0,0,0,0,0,0,-3.2,0,0,0,-6.1,0,0,0,0,0,0,0,0
7,66,-4.2,0,0,0,-6.1,0,0,0,0,0,0,0,0,-8.1,0,0,0,0,0
7,67,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,68,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,69,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,70,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,71,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,72,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,73,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,74,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,75,-4.2,0,0,0,0,0,0,0,0,0,-7.1,0,0,-5.2,0,0,0,0,0
7,76,-4.2,0,0,0,-8.1,0,0,0,0,0,0,0,0,-5.2,0,0,0,0,0
7,77,-3.1,0,0,0,0,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,78,-3.1,0,0,0,0,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,79,-3.1,0,0,0,0,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,80,-3.1,0,0,0,0,-6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,81,-3.1,0,0,0,0,-6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,82,-3.1,0,0,0,0,-6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,83,-3.1,0,0,0,0,-5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,84,-3.1,0,0,0,0,-5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,85,-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,86,-3.1,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,-2.1,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0
8,2,1.1,0,0,0,0,0,2.1,-2.2,0,0,0,0,0,0,0,0,0,0,0
8,3,1.1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,-3.1,0
8,4,1.2,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
